Category;Attribute;Sub-Attribute;Required/Optional;Extracted Value;Source Timestamp;Status;Notes
User Details;First Name;;Mandatory;John;Multiple references;Complete;Primary billing contact
User Details;Last Name;;Mandatory;;Not mentioned;Missing;John is billing contact but no last name
User Details;Email;;Mandatory;;Not mentioned;Missing;Need email for John
User Details;Role;;Mandatory;Administrator;05:51;Complete;Portal administrator
User Details;Package;;Mandatory;;Not mentioned;Missing;Need to determine package type
User Details;Mobile Number;;Optional;;Not mentioned;Not Required;
User Details;Local Extension;;Mandatory;;Not mentioned;Missing;Need to assign extensions
User Details;Job Title;;Optional;;Not mentioned;Not Required;
User Details;Department;;Optional;;Not mentioned;Not Required;
User Details;First Name;;Mandatory;Paul;06:05;Complete;Secondary administrator
User Details;Last Name;;Mandatory;Wiese;06:05;Complete;W-I-E-S-E
User Details;Email;;Mandatory;;Not mentioned;Missing;Need email for Paul
User Details;Role;;Mandatory;Administrator;06:05;Complete;Portal administrator
User Details;First Name;;Mandatory;Gavin;00:03;Complete;Technical contact
User Details;Last Name;;Mandatory;Holle;02:09;Complete;From chat participant
User Details;Email;;Mandatory;;Not mentioned;Missing;Need email for Gavin
User Details;Role;;Mandatory;Technical;Inferred;Complete;Handles technical setup
User Details;First Name;;Mandatory;Steven;00:09;Complete;BroadVoice technical
User Details;Last Name;;Mandatory;Hatch;00:09;Complete;Steve with BroadVoice
Location/Address;Location Name;;Mandatory;Springdale Arkansas;00:47;Complete;First of 5 locations
Location/Address;Street Address;;Mandatory;179 East Fontanelle Drive;02:14;Complete;Confirmed in chat
Location/Address;City;;Mandatory;Springdale;00:47;Complete;
Location/Address;State;;Mandatory;AR;00:47;Complete;Arkansas
Location/Address;ZIP Code;;Mandatory;72762;02:14;Complete;
Location/Address;Shipping Address;Street;Mandatory;179 East Fontanelle Drive;02:42;Complete;Same as service address
Location/Address;Shipping Address;City;Mandatory;Springdale;02:42;Complete;
Location/Address;Shipping Address;State;Mandatory;AR;02:42;Complete;
Location/Address;Shipping Address;ZIP;Mandatory;72762;02:42;Complete;
Location/Address;E911 Address;Street;Mandatory;179 East Fontanelle Drive;Inferred;Complete;Same as service address
Location/Address;E911 Address;City;Mandatory;Springdale;Inferred;Complete;
Location/Address;E911 Address;State;Mandatory;AR;Inferred;Complete;
Location/Address;E911 Address;ZIP;Mandatory;72762;Inferred;Complete;
